# %ECSV 1.0
# ---
# datatype:
# - {name: energy, unit: TeV, datatype: float64, format: 5g, description: Reconstructed Energy}
# - {name: e2dnde, unit: erg / (cm2 s), datatype: float64, format: 5g, description: Energy squared times differential flux}
# - {name: excess, datatype: float64, format: 5g, description: Number of excess counts in the bin}
# - {name: background, datatype: float64, format: 5g, description: Number of background counts in the bin}
# - {name: criterion, datatype: string, description: Sensitivity-limiting criterion}
# schema: astropy-2.0
energy e2dnde excess background criterion
0.12589254117941673 8.272891373541655e-13 64.9627835101155 366.0 significance
0.19952623149688797 5.913270313074247e-13 47.57795684800936 191.60000000000002 significance
0.31622776601683805 4.40603460159889e-13 33.571538895541586 91.80000000000001 significance
0.5011872336272724 4.15581352971767e-13 26.05054013451777 53.2 significance
0.7943282347242816 3.601349248489926e-13 17.132643364105526 21.0 significance
1.2589254117941675 2.339230253741654e-13 13.825795221708683 12.8 significance
1.9952623149688802 2.4859618671500534e-13 11.589196284111244 8.4 significance
3.1622776601683795 2.0062812837169637e-13 10.111609599761755 6.0 significance
5.011872336272723 3.1156350926366736e-13 9.554728118038074 5.2 significance
7.943282347242814 3.197137291237733e-13 9.408932929572098 5.0 significance
12.58925411794167 3.1705697355165197e-13 6.466658731742443 1.8 significance
19.952623149688797 6.39850298815583e-13 7.14855750715548 2.4000000000000004 significance
31.622776601683803 5.813519112792098e-13 5.00402632064016 0.8 significance
50.11872336272726 7.849263961764142e-13 5.0 0.4 gamma
79.4328234724282 1.3972830859230424e-12 5.0 0.0 gamma
