|                  Parameters |                      0 |   1 |                      2 |                      3 |
| j1507-lp.spectral.amplitude | 1.0800034443045922e-25 | 0.0 | 1.8197456761037805e-16 | 3.3033588295356984e-16 |
| j1507-lp.spectral.reference |                    0.0 | 0.0 |                    0.0 |                    0.0 |
|     j1507-lp.spectral.alpha | 1.8197456761037805e-16 | 0.0 |  0.0001732827153708358 |  3.391104204985917e-05 |
|      j1507-lp.spectral.beta | 3.3033588295356984e-16 | 0.0 |  3.391104204985917e-05 | 1.1241407452722793e-05 |
