counterpart_index,PeVatron_name,PeVatron_txt,counterpart_name,counterpart_txt,catalog,flux_points
0,LHAASO J1825-1326,LHAASOJ1825-1326,2HWC J1825-134,2HWCJ1825-134,['2hwc'],[]
1,LHAASO J1908+0621,LHAASOJ1908+0621,2HWC J1908+063,2HWCJ1908+063,['2hwc'],[]
2,LHAASO J2226+6057,LHAASOJ2226+6057,VER J2227+608,VERJ2227+608,[],[]
