# %ECSV 1.0
# ---
# datatype:
# - {name: energy, unit: TeV, datatype: float64, format: 5g, description: Reconstructed Energy}
# - {name: e2dnde, unit: erg / (cm2 s), datatype: float64, format: 5g, description: Energy squared times differential flux}
# - {name: excess, datatype: float64, format: 5g, description: Number of excess counts in the bin}
# - {name: background, datatype: float64, format: 5g, description: Number of background counts in the bin}
# - {name: criterion, datatype: string, description: Sensitivity-limiting criterion}
# schema: astropy-2.0
energy e2dnde excess background criterion
0.12589254117941673 5.506811173752148e-13 297.1 2971.0 bkg
0.19952623149688797 2.13307092417609e-13 142.98000000000002 1429.8000000000002 bkg
0.31622776601683805 2.032854346606244e-13 89.01710534078272 699.6 significance
0.5011872336272724 1.332857974612317e-13 59.4841305732072 305.0 significance
0.7943282347242816 1.1802856830888409e-13 39.17980714339006 127.4 significance
1.2589254117941675 9.450203026886414e-14 27.494815229850918 59.800000000000004 significance
1.9952623149688802 8.348897331122714e-14 17.90274362066451 23.200000000000003 significance
3.1622776601683795 6.456583039850023e-14 10.505248791288658 6.6000000000000005 significance
5.011872336272723 8.477557059389203e-14 9.108327248119947 4.6000000000000005 significance
7.943282347242814 9.033956873749291e-14 5.9470696290216605 1.4000000000000001 significance
12.58925411794167 9.311604466920998e-14 6.466658731742443 1.8 significance
19.952623149688797 1.9525504532328607e-13 5.00402632064016 0.8 significance
31.622776601683803 2.8081879806761715e-13 5.0 0.4 gamma
50.11872336272726 3.894478734203305e-13 5.00402632064016 0.8 significance
79.4328234724282 6.860150308242793e-13 5.0 0.0 gamma
